iter	RMSE
349	1810.555709
350	1809.940931
351	1808.847978
352	1808.126507
353	1806.844187
354	1806.255984
355	1805.512381
356	1804.922075
357	1804.293555
358	1802.363829
359	1801.605071
360	1801.026169
361	1799.883143
362	1798.97489
363	1798.040957
364	1797.328872
365	1796.563747
366	1795.824543
367	1795.1319
368	1794.598347
369	1793.665554
370	1793.292752
371	1792.769078
372	1792.198982
373	1791.528535
374	1790.955819
375	1790.327172
376	1789.578316
377	1788.660251
378	1788.07134
379	1787.33079
380	1786.475077
381	1785.79056
382	1784.663843
383	1784.13733
384	1783.489127
385	1782.997634
386	1782.495512
387	1781.977105
388	1781.27372
389	1780.719915
390	1780.135565
391	1779.35192
392	1778.677818
393	1777.996823
394	1776.756875
395	1775.907503
396	1775.238651
397	1774.580803
398	1773.955739
399	1773.377841
400	1772.801637
401	1772.380862
402	1771.833452
403	1771.417567
404	1770.807717
405	1770.016448
406	1769.416474
407	1767.614702
408	1766.836546
409	1765.702516
410	1764.798773
411	1763.814599
412	1763.153786
413	1762.59067
414	1761.833848
415	1761.144321
416	1760.494903
417	1759.702794
418	1759.104745
419	1758.429034
420	1757.778628
421	1757.356278
422	1756.041654
423	1755.482476
424	1754.871119
425	1754.217569
426	1753.782731
427	1753.141115
428	1752.436171
429	1751.918834
430	1751.320373
431	1749.30272
432	1748.917755
433	1748.447565
434	1747.831035
435	1747.289718
436	1746.741786
437	1746.158149
438	1745.641485
439	1745.093096
440	1744.758673
441	1744.208792
442	1743.630344
443	1743.155351
444	1742.433723
445	1742.010119
446	1741.015384
447	1740.06539
448	1739.451674
449	1738.627726
450	1737.763422
451	1737.055007
452	1736.480581
453	1735.712299
454	1735.273827
455	1734.831852
456	1734.006173
457	1733.581513
458	1733.292475
459	1732.77474
460	1732.101159
461	1731.22278
462	1729.77792
463	1729.248874
464	1728.674693
465	1728.102846
466	1727.541964
467	1727.011864
468	1726.291935
469	1725.85318
470	1725.335133
471	1723.706011
472	1722.385742
473	1721.745638
474	1720.96764
475	1720.45971
476	1719.956697
477	1719.484602
478	1718.900402
479	1718.31527
480	1716.639391
481	1715.926923
482	1715.442159
483	1714.988519
484	1713.910034
